distri	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	rejectreason	nprocessos	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	nomprovincia	nomdistribuidora	casos	bool
2273	0031	07	2.0A	C3	5	1	1	1	0	0	2.0	0.0	0.0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8604	True
2273	0031	08	2.0A	C3	5	1	4	4	0	0	0.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8368,8397,9076,9117	True
2273	0031	08	2.0A	C3	5	11	5	5	0	0	0.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8371,8472,9421,9469,9470	True
2273	0031	08	2.0A	C3	5	2	1	1	0	0	3.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8560	True
2273	0031	08	2.0A	C3	5	3	19	19	0	0	38.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7212,7249,7422,7458,7496,7522,7534,7612,7625,7860,7871,8080,8480,8541,8593,9086,9092,9119,9256	True
2273	0031	08	2.0DHA	C3	5	17	2	2	0	0	5.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7226,8167	True
2273	0031	08	2.1A	C3	5	1	1	1	0	0	0.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8071	True
2273	0031	08	2.1A	C3	5	3	1	0	1	0	0.0	10.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8094	True
2273	0031	08	3.0A	C3	4	3	1	1	0	0	3.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8395	True
2273	0031	08	3.0A	C3	4	6	1	1	0	0	1.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8091	True
2273	0031	17	2.0A	C3	5	11	1	1	0	0	0.0	0.0	0.0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7991	True
2273	0031	17	2.0A	C3	5	3	1	1	0	0	3.0	0.0	0.0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8405	True
2273	0031	18	2.0A	C3	5	3	1	1	0	0	1.0	0.0	0.0	Granada	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8450	True
2273	0031	25	2.0A	C3	5	3	2	2	0	0	5.0	0.0	0.0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7545,8329	True
2273	0031	42	2.0A	C3	5	3	1	1	0	0	1.0	0.0	0.0	Soria	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8043	True
2273	0031	44	2.0A	C3	5	3	1	1	0	0	2.0	0.0	0.0	Teruel	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8401	True
2273	0031	50	2.0A	C3	5	3	1	1	0	0	3.0	0.0	0.0	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8267	True
2273	0031	50	2.0DHA	C3	5	11	1	0	1	0	0.0	8.0	0.0	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8360	True
2280	0021	01	2.0A	C3	5	3	1	1	0	0	0.0	0.0	0.0	Araba	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7447	True
2280	0021	01	2.0A	C3	5	38	1	1	0	0	0.0	0.0	0.0	Araba	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9377	True
2280	0021	03	2.0A	C3	5	3	2	2	0	0	0.0	0.0	0.0	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7551,7562	True
2280	0021	03	2.0A	C3	5	36	1	1	0	0	0.0	0.0	0.0	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9042	True
2280	0021	03	2.0DHA	C3	5	11	1	1	0	0	0.0	0.0	0.0	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9342	True
2280	0021	09	2.0A	C3	5	6	1	1	0	0	0.0	0.0	0.0	Burgos	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9017	True
2280	0021	09	2.0DHA	C3	5	36	1	1	0	0	0.0	0.0	0.0	Burgos	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9389	True
2280	0021	12	2.0A	C3	5	3	1	1	0	0	0.0	0.0	0.0	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9328	True
2280	0021	12	2.0A	C3	5	36	2	2	0	0	0.0	0.0	0.0	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9266,9360	True
2280	0021	26	2.0A	C3	5	3	1	1	0	0	0.0	0.0	0.0	La Rioja	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9181	True
2280	0021	26	2.0A	C3	5	36	1	1	0	0	0.0	0.0	0.0	La Rioja	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8645	True
2280	0021	28	2.0A	C3	5	3	2	2	0	0	0.0	0.0	0.0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8052,9385	True
2280	0021	28	2.0A	C3	5	36	6	6	0	0	0.0	0.0	0.0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7579,8298,8646,9309,9405,9408	True
2280	0021	28	2.0DHA	C3	5	2	1	1	0	0	0.0	0.0	0.0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9346	True
2280	0021	28	2.0DHA	C3	5	3	1	1	0	0	0.0	0.0	0.0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9177	True
2280	0021	28	2.0DHA	C3	5	36	1	1	0	0	0.0	0.0	0.0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9022	True
2280	0021	30	2.0A	C3	5	3	1	1	0	0	0.0	0.0	0.0	Murcia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7846	True
2280	0021	30	2.0A	C3	5	36	1	1	0	0	0.0	0.0	0.0	Murcia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9166	True
2280	0021	31	2.0A	C3	5	3	1	1	0	0	0.0	0.0	0.0	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7883	True
2280	0021	31	2.0A	C3	5	36	1	1	0	0	0.0	0.0	0.0	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9350	True
2280	0021	42	2.0A	C3	5	3	1	1	0	0	0.0	0.0	0.0	Soria	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9183	True
2280	0021	45	2.0A	C3	5	36	2	2	0	0	0.0	0.0	0.0	Toledo	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7566,9140	True
2280	0021	46	2.0A	C3	5	2	1	1	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9349	True
2280	0021	46	2.0A	C3	5	3	3	3	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7643,9343,9347	True
2280	0021	46	2.0A	C3	5	36	2	2	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9023,9352	True
2280	0021	46	2.0A	C3	5	40	1	1	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8584	True
2280	0021	46	2.0DHA	C3	5	2	1	1	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9344	True
2280	0021	46	2.0DHA	C3	5	3	1	1	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9345	True
2280	0021	46	2.0DHA	C3	5	53	2	2	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7729,9351	True
2280	0021	48	2.0A	C3	5	20	1	1	0	0	0.0	0.0	0.0	Bizkaia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8366	True
2280	0021	48	2.0A	C3	5	3	4	4	0	0	0.0	0.0	0.0	Bizkaia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8193,8516,9366,9378	True
2316	0022	15	2.0DHA	C3	5	3	1	1	0	0	0.0	0.0	0.0	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	7850	True
2316	0022	28	2.0A	C3	5	1	1	1	0	0	0.0	0.0	0.0	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	7541	True
2316	0022	28	2.0A	C3	5	40	1	1	0	0	0.0	0.0	0.0	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9276	True
2316	0022	28	2.0DHA	C3	5	1	1	1	0	0	0.0	0.0	0.0	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9261	True
2316	0022	40	2.0A	C3	5	99	1	1	0	0	0.0	0.0	0.0	Segovia	UNIÓN FENOSA DISTRIBUCIÓN S.A.	8370	True
2401	0187	25	2.0A	C3	5	99	1	1	0	0	-16.0	0.0	0.0	Lleida	ELECTRA DEL CARDENER, S.A.	8319	True
3695	0032	16	2.0A	C3	5	36	1	1	0	0	0.0	0.0	0.0	Cuenca	ELECTRICA CONQUENSE, S.A.	7619	True
13275	0304	16	2.0A	C3	5	99	1	1	0	0	0.0	0.0	0.0	Cuenca	HIDROELECTRICA DEL GUADIELA I, S.A.	9330	True