distriid	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nreq	nomprovincia	distriname	casos
2282	R1-014	17	2.0A	C3	5	4	Girona	AGRI ENERGIA ELECTRICA	7405,7901,7953,8256
3742	R1-003	27	2.0A	C3	5	1	Lugo	DISTRIBUCIÓN BEGASA	7617
3742	R1-003	27	2.0DHA	C3	5	1	Lugo	DISTRIBUCIÓN BEGASA	8631
2406	R1-008	33	2.0A	C3	5	3	Asturias	DISTRIBUCIÓN CANTÁBRICO	7531,7984,8403
3723	R1-026	22	2.0A	C3	5	2	Huesca	DISTRIBUCIÓN EASA	7908,8566
2360	R1-107	08	3.0A	C3	4	1	Barcelona	DISTRIBUIDORA DE ENERGIA ELECTRICA DEL BAGES, S.A.	7504
7129	R1-041	36	2.0A	C3	5	1	Pontevedra	ELECTRA ALTO MIÑO, S.A.	8254
2272	R1-091	17	2.0A	C3	5	1	Girona	ELECTRA AVELLANA, S.L.	9045
2401	R1-037	25	2.0A	C3	5	2	Lleida	ELECTRA DEL CARDENER, S.A.	8319,8494
2505	R1-232	31	2.0A	C3	5	1	Navarra	Electra Valdizarbe, S.A.	7647
3695	R1-009	16	2.0A	C3	5	1	Cuenca	ELECTRICA CONQUENSE, S.A.	7619
3695	R1-009	16	2.1DHA	C3	5	1	Cuenca	ELECTRICA CONQUENSE, S.A.	8279
11861	R1-065	25	2.0A	C3	5	1	Lleida	ELECTRICA DE GUIXES, SL	8255
4274	R1-046	28	2.0A	C3	5	1	Madrid	ELÉCTRICA DE TENTUDIA. S.A	8648
20540	R1-079	36	2.0A	C3	5	1	Pontevedra	ELÉCTRICA LOS MOLINOS, S.L.	7403
8704	R1-049	10	2.0A	C3	5	1	Cáceres	ELECTRICAS PITARCH DIST. S.L.U	8089
4634	R1-099	17	2.0A	C3	5	2	Girona	ELECTRICITAT L' AURORA, S.A.	7938,8522
2273	R1-299	06	2.0A	C3	5	1	Badajoz	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9197
2273	R1-299	07	2.0A	C3	5	69	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7406,7413,7433,7434,7469,7480,7487,7516,7536,7546,7564,7573,7585,7591,7603,7631,7864,7899,7900,7916,7930,7932,7989,8016,8031,8035,8036,8049,8062,8317,8363,8365,8412,8416,8423,8436,8464,8568,8604,8614,8617,9032,9034,9054,9061,9065,9084,9121,9146,9176,9195,9196,9205,9267,9268,9270,9271,9272,9453,9456,9481,9483,9484,9511,9530,9542,9543,9549,9553
2273	R1-299	07	2.1A	C3	5	1	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9175
2273	R1-299	07	3.0A	C3	4	3	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7891,8269,9482
2273	R1-299	08	2.0A	C3	5	472	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7249,7399,7401,7407,7409,7415,7417,7422,7424,7425,7428,7429,7430,7432,7437,7440,7445,7450,7452,7453,7457,7458,7460,7461,7462,7464,7466,7467,7472,7473,7475,7476,7477,7478,7479,7486,7488,7489,7491,7493,7496,7498,7500,7503,7509,7512,7513,7517,7518,7522,7529,7530,7532,7533,7534,7535,7539,7540,7543,7544,7548,7552,7554,7557,7559,7568,7569,7578,7580,7584,7586,7587,7588,7595,7596,7597,7599,7602,7604,7608,7612,7620,7625,7626,7630,7634,7637,7638,7644,7731,7840,7843,7847,7851,7852,7854,7856,7860,7865,7866,7867,7870,7871,7875,7876,7877,7879,7880,7881,7884,7886,7898,7902,7905,7906,7909,7910,7911,7913,7914,7917,7924,7926,7927,7928,7929,7931,7934,7940,7943,7944,7949,7956,7960,7961,7963,7967,7972,7976,7978,7979,7995,7998,7999,8004,8005,8006,8007,8011,8012,8015,8017,8018,8019,8024,8027,8038,8045,8047,8050,8051,8053,8054,8056,8057,8060,8067,8068,8070,8075,8076,8079,8080,8086,8092,8169,8196,8273,8278,8316,8321,8324,8326,8331,8332,8333,8336,8340,8350,8351,8354,8355,8356,8361,8368,8371,8372,8374,8376,8379,8383,8384,8386,8391,8393,8397,8398,8402,8406,8408,8409,8414,8422,8426,8431,8432,8435,8437,8447,8452,8457,8459,8462,8467,8470,8471,8472,8480,8486,8487,8489,8490,8492,8493,8495,8496,8498,8499,8504,8507,8509,8513,8514,8519,8523,8527,8530,8532,8537,8540,8541,8542,8546,8549,8553,8554,8560,8561,8564,8570,8571,8572,8574,8577,8583,8586,8589,8592,8593,8599,8602,8603,8605,8606,8607,8609,8613,8615,8619,8621,8622,8625,8626,8629,8640,8649,8650,8651,8652,8653,8654,8655,8656,8657,9012,9013,9019,9020,9021,9024,9025,9027,9033,9035,9036,9037,9040,9047,9049,9058,9063,9064,9066,9067,9068,9071,9072,9073,9076,9077,9078,9079,9080,9081,9086,9090,9091,9092,9093,9094,9096,9098,9099,9104,9108,9109,9115,9117,9119,9126,9127,9132,9133,9147,9151,9154,9156,9162,9171,9172,9174,9178,9186,9187,9188,9189,9192,9198,9199,9203,9210,9220,9224,9226,9228,9229,9231,9233,9238,9240,9241,9242,9245,9246,9252,9256,9257,9258,9259,9260,9263,9264,9265,9282,9286,9291,9409,9411,9412,9416,9418,9419,9420,9421,9422,9424,9427,9428,9429,9430,9431,9432,9433,9434,9437,9438,9439,9441,9442,9443,9444,9445,9446,9447,9450,9452,9454,9457,9462,9463,9467,9469,9470,9471,9472,9473,9475,9477,9486,9487,9488,9489,9490,9491,9492,9493,9497,9500,9501,9502,9503,9505,9506,9507,9508,9509,9510,9514,9516,9517,9518,9522,9528,9531,9533,9534,9535,9538,9539,9544,9545,9547,9548,9550,9551,9552,9556,9557,9558,9559,9561,9562
2273	R1-299	08	2.0A	C4	5	3	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7645,7724,7730
2273	R1-299	08	2.0DHA	C3	5	25	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7502,7524,7582,7723,7869,7923,7957,7959,7981,7997,8167,8390,8396,8575,8580,9014,9074,9087,9191,9206,9274,9333,9455,9458,9460
2273	R1-299	08	2.1A	C3	5	13	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7497,7525,7560,7565,7583,7878,8071,8094,9060,9440,9466,9554,9586
2273	R1-299	08	2.1DHA	C3	5	7	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7426,7897,7993,8378,8473,9134,9145
2273	R1-299	08	3.0A	C3	3	1	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9182
2273	R1-299	08	3.0A	C3	4	13	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7414,7521,7528,7629,7889,8082,8091,8395,8446,8610,9414,9468,9527
2273	R1-299	11	2.0A	C3	5	6	Cádiz	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7609,7610,9106,9107,9451,9540
2273	R1-299	11	2.0DHA	C3	5	1	Cádiz	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7607
2273	R1-299	14	2.0A	C3	5	11	Córdoba	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7941,8037,8041,8320,8463,8524,8618,9038,9089,9158,9529
2273	R1-299	14	3.0A	C3	4	1	Córdoba	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9532
2273	R1-299	17	2.0A	C3	5	69	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7248,7410,7421,7444,7446,7451,7481,7482,7514,7561,7632,7633,7728,7842,7861,7862,7863,7882,7918,7933,7942,7977,7988,7991,8048,8069,8315,8404,8405,8410,8419,8424,8476,8501,8505,8612,8627,8628,9048,9062,9100,9113,9124,9137,9141,9161,9170,9200,9234,9235,9237,9249,9269,9332,9410,9417,9423,9448,9461,9479,9513,9515,9519,9521,9523,9524,9525,9526,9555
2273	R1-299	17	2.0A	C4	5	1	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8118
2273	R1-299	17	2.0DHA	C3	5	2	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8014,8477
2273	R1-299	17	2.1A	C3	5	2	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7574,8058
2273	R1-299	17	3.0A	C3	4	1	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8478
2273	R1-299	18	2.0A	C3	5	12	Granada	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7494,7896,8382,8450,8502,8624,8641,8647,9110,9165,9566,9567
2273	R1-299	18	2.0DHA	C3	5	2	Granada	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7593,9568
2273	R1-299	18	2.1A	C3	5	1	Granada	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7448
2273	R1-299	21	2.0A	C3	5	2	Huelva	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8039,8481
2273	R1-299	22	2.0A	C3	5	5	Huesca	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7992,8002,8327,8595,9541
2273	R1-299	22	3.0A	C3	4	1	Huesca	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8084
2273	R1-299	25	2.0A	C3	5	31	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7484,7505,7526,7545,7589,7935,7939,7945,7947,7950,7958,7980,8022,8032,8095,8096,8329,8418,8443,8497,8578,8597,9015,9248,9250,9285,9415,9494,9495,9496,9504
2273	R1-299	25	2.0DHA	C3	5	3	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8334,8644,9214
2273	R1-299	25	2.1A	C3	5	1	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7912
2273	R1-299	25	3.0A	C3	4	5	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7492,7890,7892,8616,9464
2273	R1-299	29	2.0A	C3	5	4	Málaga	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8364,9262,9498,9499
2273	R1-299	29	2.0DHA	C3	5	1	Málaga	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9485
2273	R1-299	41	2.0A	C3	5	9	Sevilla	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7571,8023,8274,8282,8611,8623,9103,9279,9565
2273	R1-299	42	2.0A	C3	5	2	Soria	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8043,9465
2273	R1-299	43	2.0A	C3	5	51	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7423,7427,7439,7490,7519,7538,7553,7558,7592,7598,7614,7844,7874,7973,7974,7985,8438,8440,8444,8506,8515,8550,8552,8562,8579,8600,8620,9039,9041,9059,9193,9207,9222,9244,9255,9413,9426,9435,9436,9449,9459,9474,9476,9478,9480,9512,9520,9536,9537,9546,9564
2273	R1-299	43	2.0DHA	C3	5	2	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8485,9129
2273	R1-299	43	2.1A	C3	5	2	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8013,9560
2273	R1-299	43	2.1DHA	C3	5	1	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7501
2273	R1-299	44	2.0A	C3	5	6	Teruel	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8358,8401,8449,8465,9216,9311
2273	R1-299	44	2.1DHA	C3	5	1	Teruel	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7570
2273	R1-299	46	2.0A	C3	5	1	València	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7618
2273	R1-299	50	2.0A	C3	5	28	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7441,7511,7515,7520,7857,7858,7919,7921,7994,8267,8362,8389,8392,8399,8439,8488,8491,8511,8521,8543,8544,8565,9194,9202,9204,9208,9425,9563
2273	R1-299	50	2.0DHA	C3	5	2	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8360,9128
7145	R1-054	10	2.0A	C3	5	1	Cáceres	ENERGIA DE MIAJADAS, S.A.	9247
2437	R1-005	39	2.0A	C3	5	3	Cantabria	E.ON DISTRIBUCION S.L.	7605,8525,9105
2437	R1-005	39	2.1A	C3	5	1	Cantabria	E.ON DISTRIBUCION S.L.	9083
2301	R1-018	08	2.0A	C3	5	3	Barcelona	ESTABANELL Y PAHISA ENERGIA	8061,8093,8270
2301	R1-018	08	2.0DHA	C3	5	1	Barcelona	ESTABANELL Y PAHISA ENERGIA	7907
2301	R1-018	08	2.1DHA	C3	5	1	Barcelona	ESTABANELL Y PAHISA ENERGIA	8322
13288	R1-316	46	2.0A	C3	5	3	València	FUERZAS ELECTRICAS DE VALENCIA, S.A. (FEVASA)	8236,8630,9313
21327	R1-059	22	2.0A	C3	5	1	Huesca	GRUPO DE ELEC. RURAL DE BINEFAR Y COMARCA	8352
13275	R1-023	16	2.0A	C3	5	1	Cuenca	HIDROELECTRICA DEL GUADIELA I, S.A.	9330
10866	R1-133	19	2.0A	C3	5	1	Guadalajara	HIDROELÉCTRICA EL CARMEN, S.L.	8434
2280	R1-001	01	2.0A	C3	5	4	Araba	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7447,8442,8479,9377
2280	R1-001	02	2.0A	C3	5	5	Albacete	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8055,8059,8520,8585,9364
2280	R1-001	02	2.0DHA	C3	5	1	Albacete	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7636
2280	R1-001	03	2.0A	C3	5	39	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7420,7468,7471,7549,7550,7551,7562,7903,7904,7920,7970,7987,7990,8021,8083,8085,8323,8353,8381,8420,8503,8529,8581,8845,9030,9042,9120,9122,9135,9138,9139,9148,9168,9253,9280,9355,9356,9373,9392
2280	R1-001	03	2.0DHA	C3	5	9	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7418,7470,7664,7841,7948,8325,9164,9167,9342
2280	R1-001	03	2.1DHA	C3	5	1	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9386
2280	R1-001	05	2.0A	C3	5	2	Avila	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7435,8034
2280	R1-001	09	2.0A	C3	5	9	Burgos	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7510,7600,7601,8000,8064,8065,9017,9281,9383
2280	R1-001	09	2.0DHA	C3	5	2	Burgos	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9382,9389
2280	R1-001	10	2.0A	C3	5	2	Cáceres	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8090,9393
2280	R1-001	10	2.0DHA	C3	5	1	Cáceres	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9407
2280	R1-001	12	2.0A	C3	5	17	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7572,7888,7975,8394,8413,8430,8448,8468,8531,8536,9088,9160,9266,9328,9358,9360,9388
2280	R1-001	12	2.0DHA	C3	5	2	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8387,9243
2280	R1-001	16	2.0A	C3	5	5	Cuenca	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7837,7838,7839,9055,9190
2280	R1-001	16	2.0DHA	C3	5	1	Cuenca	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9075
2280	R1-001	16	2.1DHA	C3	5	1	Cuenca	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7946
2280	R1-001	19	2.0A	C3	5	4	Guadalajara	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7887,7895,9153,9353
2280	R1-001	20	2.0A	C3	5	2	Gipuzkoa	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7971,8643
2280	R1-001	24	2.0A	C3	5	1	León	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8518
2280	R1-001	26	2.0A	C3	5	7	La Rioja	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7925,8339,8466,8645,9181,9359,9399
2280	R1-001	26	2.0DHA	C3	5	1	La Rioja	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7836
2280	R1-001	26	2.1A	C3	5	1	La Rioja	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8338
2280	R1-001	28	2.0A	C3	5	78	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7411,7412,7436,7456,7474,7495,7506,7507,7508,7555,7556,7576,7577,7579,7581,7611,7616,7621,7622,7635,7639,7853,7859,7885,7915,7952,8033,8044,8052,8066,8073,8077,8119,8298,8314,8337,8367,8385,8388,8407,8415,8427,8428,8441,8454,8526,8545,8557,8559,8594,8596,8646,9018,9044,9052,9069,9136,9143,9144,9149,9212,9217,9225,9227,9277,9287,9309,9357,9376,9379,9384,9385,9391,9394,9396,9404,9405,9408
2280	R1-001	28	2.0DHA	C3	5	10	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7722,8001,8357,8359,8380,9022,9101,9177,9346,9369
2280	R1-001	28	2.1DHA	C3	5	1	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9118
2280	R1-001	28	3.0A	C3	4	1	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8451
2280	R1-001	30	2.0A	C3	5	17	Murcia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7846,7848,7954,8063,8555,8567,8569,8573,8576,9150,9166,9169,9185,9213,9232,9251,9398
2280	R1-001	30	2.1A	C3	5	1	Murcia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8534
2280	R1-001	31	2.0A	C3	5	52	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7402,7454,7465,7499,7542,7615,7627,7628,7872,7883,7936,7962,7969,7986,8030,8072,8074,8081,8335,8341,8453,8456,8510,8547,8551,8587,8588,9009,9026,9056,9057,9070,9111,9114,9123,9130,9142,9152,9159,9209,9211,9348,9350,9362,9365,9371,9372,9387,9395,9397,9402,9571
2280	R1-001	31	2.0DHA	C3	5	3	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8042,8461,8538
2280	R1-001	31	2.1A	C3	5	1	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7537
2280	R1-001	31	2.1DHA	C3	5	1	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7431
2280	R1-001	37	2.0A	C3	5	2	Salamanca	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8433,9157
2280	R1-001	42	2.0A	C3	5	2	Soria	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9046,9183
2280	R1-001	45	2.0A	C3	5	8	Toledo	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7566,7567,7641,8088,9082,9140,9310,9367
2280	R1-001	46	2.0A	C3	5	80	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7398,7400,7419,7442,7443,7459,7523,7640,7643,7855,7894,7937,7955,7966,7968,8003,8009,8010,8020,8025,8026,8028,8029,8040,8046,8087,8328,8342,8373,8421,8425,8445,8455,8458,8460,8469,8474,8475,8484,8508,8512,8535,8558,8563,8584,8591,8639,9023,9051,9085,9095,9102,9112,9131,9155,9179,9215,9221,9239,9254,9275,9284,9343,9347,9349,9352,9354,9363,9368,9374,9375,9380,9381,9390,9400,9401,9403,9406,9569,9570
2280	R1-001	46	2.0DHA	C3	5	4	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7729,9344,9345,9351
2280	R1-001	46	2.1A	C3	5	1	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7982
2280	R1-001	46	2.1DHA	C3	5	4	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7996,9163,9201,9361
2280	R1-001	46	3.0A	C3	4	2	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7868,8548
2280	R1-001	47	2.0A	C3	5	4	Valladolid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8375,8377,8556,9097
2280	R1-001	47	2.0DHA	C3	5	1	Valladolid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7449
2280	R1-001	48	2.0A	C3	5	18	Bizkaia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7642,7964,7965,8078,8193,8318,8330,8343,8366,8400,8516,8590,9028,9031,9283,9366,9370,9378
2280	R1-001	48	2.0DHA	C3	5	4	Bizkaia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7590,7845,8517,9029
2280	R1-001	49	2.0DHA	C3	5	1	Zamora	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9050
4562	R1-052	17	2.0A	C3	5	1	Girona	LERSA ELECTRICITAT, S.L.	7563
7118	R1-202	25	2.0DHA	C3	5	1	Lleida	MOLINO VIEJO DE VILALLER, S.A.	7483
17073	R1-227	26	2.0A	C3	5	1	La Rioja	RUIZ DE LA TORRE, S.L.	8268
3831	R1-315	50	2.0A	C3	5	3	Zaragoza	SOLANAR DISTRIBUIDORA ELECTRICA, S.L.	8271,8833,8834
2402	R1-062	17	2.0A	C3	5	1	Girona	SUMINISTRO DE LUZ Y FUERZA, S.L.	9125
2316	R1-002	13	2.0A	C3	5	2	Ciudad Real	UNIÓN FENOSA DISTRIBUCIÓN S.A.	7613,8638
2316	R1-002	15	2.0A	C3	5	9	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	8281,8345,8346,8347,8348,8349,8598,9180,9230
2316	R1-002	15	2.0DHA	C3	5	2	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	7455,7850
2316	R1-002	19	2.0A	C3	5	1	Guadalajara	UNIÓN FENOSA DISTRIBUCIÓN S.A.	8411
2316	R1-002	19	2.0DHA	C3	5	1	Guadalajara	UNIÓN FENOSA DISTRIBUCIÓN S.A.	8533
2316	R1-002	24	2.0A	C3	5	2	León	UNIÓN FENOSA DISTRIBUCIÓN S.A.	7416,9219
2316	R1-002	28	2.0A	C3	5	39	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	7404,7408,7438,7463,7485,7527,7541,7547,7575,7646,7718,7849,7873,7893,7922,7951,7983,8275,8276,8277,8369,8417,8482,8483,8500,8528,8539,8582,9016,9043,9053,9173,9218,9223,9236,9273,9276,9278,9327
2316	R1-002	28	2.0DHA	C3	5	3	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	8008,9261,9295
2316	R1-002	28	2.1A	C3	5	1	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	8280
2316	R1-002	28	2.1DHA	C3	5	1	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	8429
2316	R1-002	32	2.0A	C3	5	1	Ourense	UNIÓN FENOSA DISTRIBUCIÓN S.A.	7594
2316	R1-002	36	2.0A	C3	5	5	Pontevedra	UNIÓN FENOSA DISTRIBUCIÓN S.A.	7623,7624,8344,9116,9184
2316	R1-002	36	3.0A	C3	4	1	Pontevedra	UNIÓN FENOSA DISTRIBUCIÓN S.A.	7606
2316	R1-002	40	2.0A	C3	5	1	Segovia	UNIÓN FENOSA DISTRIBUCIÓN S.A.	8370