distriid	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	count	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	ontimeissues	lateissues	verylateissues	nomprovincia	distriname	casos
2326	R1-015	17	2.0A	C3	5	1	1	0	0	0.0	0.0	0.0	0	0	0	Girona	BASSOLS ENERGÍA, S.A.	41647
2326	R1-015	17	3.0A	C3	3	1	1	0	0	22.0	0.0	0.0	0	0	0	Girona	BASSOLS ENERGÍA, S.A.	41165
2406	R1-008	33	3.0A	C3	4	1	1	0	0	21.0	0.0	0.0	0	0	0	Asturias	DISTRIBUCIÓN CANTÁBRICO	40563
2272	R1-091	17	2.0A	C3	5	1	1	0	0	31.0	0.0	0.0	0	0	0	Girona	ELECTRA AVELLANA, S.L.	38809
3889	R1-254	31	2.0A	C3	5	1	1	0	0	0.0	0.0	0.0	0	0	0	Navarra	ELECTRA SALTEA, S.L.	41306
3223	R1-176	17	2.1A	C3	5	1	1	0	0	43.0	0.0	0.0	0	0	0	Girona	ELÉCTRICA DE JAFRE, S.A.	37863
2273	R1-299	04	2.0A	C3	5	1	1	0	0	21.0	0.0	0.0	0	0	0	Almería	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	39689
2273	R1-299	07	2.0A	C3	5	43	43	0	0	1378.0	0.0	0.0	0	0	0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	36906,37358,37367,37844,37894,38176,38274,38332,38678,38729,38745,38753,38755,39068,39119,39123,39143,39179,39188,39231,39233,39651,39738,39773,39824,39840,40098,40099,40100,40128,40180,40242,40463,40510,40524,40559,41002,41003,41065,41072,41641,41949,41972
2273	R1-299	07	2.0DHA	C3	5	2	2	0	0	77.0	0.0	0.0	0	0	0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	38692,39172
2273	R1-299	07	2.1A	C3	5	1	1	0	0	24.0	0.0	0.0	0	0	0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	39149
2273	R1-299	07	3.0A	C3	4	1	1	0	0	2.0	0.0	0.0	0	0	0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40515
2273	R1-299	08	2.0A	C3	5	286	286	0	0	5618.0	0.0	0.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	36870,36966,36967,37427,37430,37741,37769,37788,37791,37833,37849,37891,37897,37904,37958,37960,38161,38180,38186,38194,38196,38200,38213,38214,38229,38230,38233,38244,38250,38286,38299,38302,38303,38310,38344,38346,38556,38572,38625,38658,38671,38715,38736,38757,38760,38777,38860,38870,39045,39066,39089,39097,39101,39122,39133,39147,39162,39171,39175,39189,39191,39195,39197,39201,39208,39209,39217,39222,39228,39239,39249,39662,39672,39685,39686,39693,39694,39695,39700,39701,39711,39714,39717,39728,39731,39732,39735,39739,39741,39744,39754,39756,39763,39768,39781,39783,39792,39800,39817,39820,39826,39835,39836,39837,39845,39850,39855,39906,40059,40068,40108,40111,40112,40118,40145,40146,40160,40166,40187,40197,40200,40217,40219,40227,40229,40243,40246,40251,40254,40256,40258,40425,40435,40436,40461,40466,40467,40473,40482,40483,40486,40488,40495,40499,40501,40503,40529,40534,40536,40544,40547,40553,40558,40561,40570,40571,40578,40581,40586,40587,40588,40589,40596,40599,40603,40604,40610,40620,40621,40623,40630,40666,40667,40668,40671,40722,40918,40923,40933,40954,40967,40968,40974,40975,40980,40981,40983,40994,40995,40998,41004,41013,41037,41042,41043,41044,41048,41051,41053,41066,41069,41080,41081,41084,41086,41091,41093,41095,41097,41099,41100,41101,41102,41103,41109,41110,41113,41151,41307,41320,41581,41582,41584,41585,41587,41589,41594,41597,41602,41603,41615,41618,41619,41621,41623,41624,41638,41656,41664,41665,41669,41671,41677,41678,41692,41694,41698,41704,41716,41719,41720,41725,41726,41733,41736,41867,41933,41940,41945,41956,41969,41996,41997,42019,42028,42029,42037,42043,42047,42050,42064,42078,42084,42125,42127,42293,42329,42331,42339,42341,42345,42405,42438,42454,42463,42495
2273	R1-299	08	2.0A	C4	5	1	1	0	0	3.0	0.0	0.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42153
2273	R1-299	08	2.0DHA	C3	5	16	16	0	0	290.0	0.0	0.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	38227,39170,39294,39659,40250,40456,40485,40557,40591,41028,41031,41034,41050,41119,41642,41661
2273	R1-299	08	2.1A	C3	5	11	11	0	0	287.0	0.0	0.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	37754,37804,38730,39069,40102,40143,40147,40148,40568,40969,40989
2273	R1-299	08	2.1DHA	C3	5	3	3	0	0	57.0	0.0	0.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	38686,40580,41588
2273	R1-299	08	3.0A	C3	3	3	3	0	0	31.0	0.0	0.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	39679,39784,40583
2273	R1-299	08	3.0A	C3	4	16	16	0	0	225.0	0.0	0.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40081,40090,40091,40113,40140,40141,40142,40179,40487,40517,40634,40905,40990,40991,40992,41626
2273	R1-299	11	2.0A	C3	5	3	3	0	0	47.0	0.0	0.0	0	0	0	Cádiz	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	37753,40597,42359
2273	R1-299	11	2.0DHA	C3	5	1	1	0	0	23.0	0.0	0.0	0	0	0	Cádiz	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	39780
2273	R1-299	14	2.0A	C3	5	1	1	0	0	28.0	0.0	0.0	0	0	0	Córdoba	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	39223
2273	R1-299	17	2.0A	C3	5	44	44	0	0	1178.0	0.0	0.0	0	0	0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	37377,37758,37848,38126,38189,38285,38638,38643,38645,38659,38749,38762,39090,39134,39212,39251,39291,39705,39734,39801,39852,40080,40157,40225,40234,40438,40476,40505,40513,40533,40541,40560,40940,41001,41021,41033,41038,41070,41074,41666,41670,41732,41851,41852
2273	R1-299	17	2.0DHA	C3	5	4	4	0	0	64.0	0.0	0.0	0	0	0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	39190,39246,40575,41687
2273	R1-299	17	2.1A	C3	5	1	1	0	0	7.0	0.0	0.0	0	0	0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41659
2273	R1-299	17	3.0A	C3	4	2	2	0	0	58.0	0.0	0.0	0	0	0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	38735,40562
2273	R1-299	18	2.0A	C3	5	5	5	0	0	121.0	0.0	0.0	0	0	0	Granada	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	39648,39725,40530,40592,41114
2273	R1-299	22	2.0A	C3	5	4	4	0	0	61.0	0.0	0.0	0	0	0	Huesca	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	39674,41005,41075,41078
2273	R1-299	25	2.0A	C3	5	16	16	0	0	377.0	0.0	0.0	0	0	0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	37874,38223,38343,38653,39210,39649,39661,40125,40150,40489,40521,40528,40601,41096,41611,41707
2273	R1-299	25	3.0A	C3	4	4	4	0	0	63.0	0.0	0.0	0	0	0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	38601,40189,40585,40598
2273	R1-299	29	2.0A	C3	5	3	3	0	0	81.0	0.0	0.0	0	0	0	Málaga	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	38619,39660,40548
2273	R1-299	29	2.0DHA	C3	5	2	2	0	0	61.0	0.0	0.0	0	0	0	Málaga	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	39818,39832
2273	R1-299	41	2.0A	C3	5	9	9	0	0	114.0	0.0	0.0	0	0	0	Sevilla	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40071,40107,40478,40538,40971,41164,41639,42004,42051
2273	R1-299	41	3.0A	C3	4	1	1	0	0	11.0	0.0	0.0	0	0	0	Sevilla	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40545
2273	R1-299	41	3.1A	C3	5	1	1	0	0	9.0	0.0	0.0	0	0	0	Sevilla	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41132
2273	R1-299	43	2.0A	C3	5	37	37	0	0	856.0	0.0	0.0	0	0	0	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	37770,37798,37815,38204,38295,38301,38315,38699,38716,38765,39103,39127,39205,39678,39691,39706,39803,40173,40241,40509,40595,40704,40892,40895,40897,40898,40950,40959,40978,40982,41020,41067,41620,41706,42057,42058,42067
2273	R1-299	43	2.0DHA	C3	5	7	7	0	0	125.0	0.0	0.0	0	0	0	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	38644,39192,39749,40569,40894,40896,41729
2273	R1-299	43	2.1A	C3	5	2	2	0	0	17.0	0.0	0.0	0	0	0	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	39760,40899
2273	R1-299	43	2.1DHA	C3	5	2	2	0	0	3.0	0.0	0.0	0	0	0	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40889,40890
2273	R1-299	43	3.0A	C3	4	2	2	0	0	6.0	0.0	0.0	0	0	0	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40891,40893
2273	R1-299	44	2.0A	C3	5	2	2	0	0	44.0	0.0	0.0	0	0	0	Teruel	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	38673,40902
2273	R1-299	44	2.0DHA	C3	5	2	2	0	0	49.0	0.0	0.0	0	0	0	Teruel	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	39752,40452
2273	R1-299	50	2.0A	C3	5	20	20	0	0	382.0	0.0	0.0	0	0	0	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	37853,38342,39184,39497,39653,39666,40132,40176,40232,40244,40593,40594,40613,40917,40973,41024,41599,41636,41640,42133
2273	R1-299	50	2.0DHA	C3	5	1	1	0	0	22.0	0.0	0.0	0	0	0	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40977
2273	R1-299	50	2.1A	C3	5	1	1	0	0	29.0	0.0	0.0	0	0	0	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40500
2273	R1-299	50	3.0A	C3	4	1	1	0	0	3.0	0.0	0.0	0	0	0	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40956
2437	R1-005	39	2.0A	C3	5	4	4	0	0	21.0	0.0	0.0	0	0	0	Cantabria	E.ON DISTRIBUCION S.L.	40233,40477,42039,42410
2280	R1-001	01	2.0A	C3	5	1	1	0	0	15.0	0.0	0.0	0	0	0	Araba	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	41717
2280	R1-001	01	2.1DHA	C3	5	1	1	0	0	14.0	0.0	0.0	0	0	0	Araba	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	41658
2280	R1-001	02	2.0A	C3	5	2	2	0	0	5.0	0.0	0.0	0	0	0	Albacete	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	41057,41108
2280	R1-001	02	2.0DHA	C3	5	1	1	0	0	2.0	0.0	0.0	0	0	0	Albacete	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	41059
2280	R1-001	03	2.0A	C3	5	11	10	1	0	219.0	70.0	0.0	0	0	0	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	37528,37739,38626,38778,40101,40114,40117,40627,40997,41961,42336
2280	R1-001	03	2.1A	C3	5	1	1	0	0	3.0	0.0	0.0	0	0	0	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	42144
2280	R1-001	05	2.0A	C3	5	2	2	0	0	65.0	0.0	0.0	0	0	0	Avila	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	37751,40554
2280	R1-001	06	2.0A	C3	5	1	1	0	0	43.0	0.0	0.0	0	0	0	Badajoz	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	38256
2280	R1-001	09	2.0A	C3	5	4	4	0	0	142.0	0.0	0.0	0	0	0	Burgos	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	36885,37810,40084,40960
2280	R1-001	10	2.0A	C3	5	1	1	0	0	19.0	0.0	0.0	0	0	0	Cáceres	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	40511
2280	R1-001	12	2.0A	C3	5	13	13	0	0	211.0	0.0	0.0	0	0	0	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	39762,39795,39876,39878,40129,40130,40479,40525,40618,41009,41592,41957,41988
2280	R1-001	12	2.0DHA	C3	5	2	2	0	0	29.0	0.0	0.0	0	0	0	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	40532,41711
2280	R1-001	12	2.1A	C3	5	1	1	0	0	26.0	0.0	0.0	0	0	0	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	40119
2280	R1-001	20	2.0A	C3	5	5	5	0	0	137.0	0.0	0.0	0	0	0	Gipuzkoa	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	38169,38170,39789,40231,40245
2280	R1-001	20	2.1DHA	C3	5	1	1	0	0	52.0	0.0	0.0	0	0	0	Gipuzkoa	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	38768
2280	R1-001	24	2.0A	C3	5	3	3	0	0	25.0	0.0	0.0	0	0	0	León	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	40067,41724,41954
2280	R1-001	26	2.0A	C3	5	9	9	0	0	99.0	0.0	0.0	0	0	0	La Rioja	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	38771,40497,40670,40939,41064,41655,41710,42059,42470
2280	R1-001	28	2.0A	C3	5	47	47	0	0	1176.0	0.0	0.0	0	0	0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	37835,37837,37927,37951,38381,38639,38661,38663,38725,38741,38828,39114,39138,39163,39676,39681,39697,39771,39816,39844,40078,40115,40192,40203,40212,40215,40223,40226,40502,40512,40516,40526,40550,40579,40602,40614,40619,40929,40986,41019,41049,41073,41321,41601,41633,41675,42380
2280	R1-001	28	2.0DHA	C3	5	4	4	0	0	67.0	0.0	0.0	0	0	0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	39707,39785,40228,42357
2280	R1-001	30	2.0A	C3	5	10	10	0	0	320.0	0.0	0.0	0	0	0	Murcia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	37446,38171,38317,39243,39663,39737,40069,40207,40518,41612
2280	R1-001	31	2.0A	C3	5	18	18	0	0	526.0	0.0	0.0	0	0	0	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	37401,37776,37892,38630,38732,38733,39269,39682,39782,40249,40260,40475,40537,40605,40633,41054,41106,42294
2280	R1-001	31	2.0DHA	C3	5	1	1	0	0	17.0	0.0	0.0	0	0	0	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	41651
2280	R1-001	31	2.0DHS	C3	5	1	1	0	0	26.0	0.0	0.0	0	0	0	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	39095
2280	R1-001	34	2.0A	C3	5	2	2	0	0	31.0	0.0	0.0	0	0	0	Palencia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	40199,41122
2280	R1-001	34	2.0DHA	C3	5	1	1	0	0	9.0	0.0	0.0	0	0	0	Palencia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	40926
2280	R1-001	37	3.0A	C3	4	1	1	0	0	22.0	0.0	0.0	0	0	0	Salamanca	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	40133
2280	R1-001	39	2.0A	C3	5	1	1	0	0	25.0	0.0	0.0	0	0	0	Cantabria	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	39072
2280	R1-001	45	2.0A	C3	5	3	3	0	0	63.0	0.0	0.0	0	0	0	Toledo	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	39677,39794,41092
2280	R1-001	46	2.0A	C3	5	78	78	0	0	1773.0	0.0	0.0	0	0	0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	37745,37746,37852,38185,38268,38662,38738,38751,38759,38772,38780,38800,38801,38807,38832,39087,39091,39104,39107,39129,39203,39220,39244,39245,39769,39775,39777,39833,39838,39841,39847,39857,40066,40086,40127,40131,40138,40139,40155,40156,40182,40191,40193,40194,40209,40210,40211,40213,40220,40469,40493,40519,40546,40552,40608,40629,40631,40635,40726,40961,41011,41012,41026,41071,41088,41157,41627,41667,41728,41853,41934,41941,42023,42025,42116,42139,42379,42471
2280	R1-001	46	2.0DHA	C3	5	4	4	0	0	111.0	0.0	0.0	0	0	0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	37896,38746,40154,40504
2280	R1-001	46	2.1DHA	C3	5	1	1	0	0	23.0	0.0	0.0	0	0	0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	40498
2280	R1-001	46	3.0A	C3	4	1	1	0	0	22.0	0.0	0.0	0	0	0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	40214
2280	R1-001	47	2.0A	C3	5	2	2	0	0	83.0	0.0	0.0	0	0	0	Valladolid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	38684,38688
2280	R1-001	48	2.0A	C3	5	7	7	0	0	132.0	0.0	0.0	0	0	0	Bizkaia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	38618,39740,39764,40123,40124,41115,41590
2280	R1-001	48	2.0DHA	C3	5	1	1	0	0	18.0	0.0	0.0	0	0	0	Bizkaia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	39823
2280	R1-001	48	3.0A	C3	4	1	1	0	0	24.0	0.0	0.0	0	0	0	Bizkaia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	39671
2280	R1-001	None	2.0A	C3	5	1	1	0	0	3.0	0.0	0.0	0	0	0	None	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	41010
5887	R1-061	20	2.0A	C3	5	1	1	0	0	18.0	0.0	0.0	0	0	0	Gipuzkoa	OÑARGI	39493
6298	R1-021	11	2.0A	C3	5	1	1	0	0	17.0	0.0	0.0	0	0	0	Cádiz	SUMINISTRADORA ELECTRICA DE CADIZ, S.A.	40454
2402	R1-062	17	2.0A	C3	5	4	4	0	0	123.0	0.0	0.0	0	0	0	Girona	SUMINISTRO DE LUZ Y FUERZA, S.L.	37339,38614,39219,39226
2402	R1-062	17	2.1A	C3	5	1	1	0	0	29.0	0.0	0.0	0	0	0	Girona	SUMINISTRO DE LUZ Y FUERZA, S.L.	38669
2316	R1-002	13	2.0A	C3	5	2	2	0	0	31.0	0.0	0.0	0	0	0	Ciudad Real	UNIÓN FENOSA DISTRIBUCIÓN S.A.	39250,40520
2316	R1-002	15	2.0A	C3	5	7	7	0	0	84.0	0.0	0.0	0	0	0	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	39828,40094,40153,40492,40632,41628,41688
2316	R1-002	15	2.0DHA	C3	5	2	2	0	0	4.0	0.0	0.0	0	0	0	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	40565,40624
2316	R1-002	19	2.0A	C3	5	9	9	0	0	101.0	0.0	0.0	0	0	0	Guadalajara	UNIÓN FENOSA DISTRIBUCIÓN S.A.	38803,39211,40253,41975,41976,41978,41979,41982,41983
2316	R1-002	24	2.0A	C3	5	1	1	0	0	57.0	0.0	0.0	0	0	0	León	UNIÓN FENOSA DISTRIBUCIÓN S.A.	38728
2316	R1-002	27	2.0DHA	C3	5	1	1	0	0	43.0	0.0	0.0	0	0	0	Lugo	UNIÓN FENOSA DISTRIBUCIÓN S.A.	39121
2316	R1-002	28	2.0A	C3	5	37	37	0	0	910.0	0.0	0.0	0	0	0	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	37505,37516,37764,38309,38391,38612,38706,38724,39125,39126,39136,39156,39268,39300,39703,39742,39766,39815,39821,40073,40082,40104,40224,40230,40531,40574,40615,40616,40925,41007,41008,41039,41695,42076,42327,42343,42423
2316	R1-002	28	2.0DHA	C3	5	1	1	0	0	30.0	0.0	0.0	0	0	0	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	38697
2316	R1-002	32	2.0A	C3	5	2	2	0	0	36.0	0.0	0.0	0	0	0	Ourense	UNIÓN FENOSA DISTRIBUCIÓN S.A.	40089,40202
2316	R1-002	36	2.0A	C3	5	2	2	0	0	86.0	0.0	0.0	0	0	0	Pontevedra	UNIÓN FENOSA DISTRIBUCIÓN S.A.	37906,39120
2316	R1-002	36	2.0DHA	C3	5	2	2	0	0	59.0	0.0	0.0	0	0	0	Pontevedra	UNIÓN FENOSA DISTRIBUCIÓN S.A.	38739,40953
2316	R1-002	40	2.0A	C3	5	1	1	0	0	16.0	0.0	0.0	0	0	0	Segovia	UNIÓN FENOSA DISTRIBUCIÓN S.A.	41131
2316	R1-002	45	2.0A	C3	5	1	1	0	0	8.0	0.0	0.0	0	0	0	Toledo	UNIÓN FENOSA DISTRIBUCIÓN S.A.	42115